,# year	hare	lynx	carrot
0,1900	30e3	4e3	48300
1,1901	47.2e3	6.1e3	48200
2,1902	70.2e3	9.8e3	41500
3,1903	77.4e3	35.2e3	38200
4,1904	36.3e3	59.4e3	40600
5,1905	20.6e3	41.7e3	39800
6,1906	18.1e3	19e3	38600
7,1907	21.4e3	13e3	42300
8,1908	22e3	8.3e3	44500
9,1909	25.4e3	9.1e3	42100
10,1910	27.1e3	7.4e3	46000
11,1911	40.3e3	8e3	46800
12,1912	57e3	12.3e3	43800
13,1913	76.6e3	19.5e3	40900
14,1914	52.3e3	45.7e3	39400
15,1915	19.5e3	51.1e3	39000
16,1916	11.2e3	29.7e3	36700
17,1917	7.6e3	15.8e3	41800
18,1918	14.6e3	9.7e3	43300
19,1919	16.2e3	10.1e3	41300
20,1920	24.7e3	8.6e3	47300
